Año,Cuatrimestre,Materia,Comision,Horario,Profesores,Inscriptos
2010,Primer Cuat.,61.28 - Economía,A,"Martes 15:00 - 18:00 Aula externa: 25
Viernes 15:00 - 18:00 Aula externa: 25","['Lelic', ' Rifat\nTersoglio', ' Jorge Leonardo']",40 / 35
2010,Primer Cuat.,61.28 - Economía,B,"Miércoles 15:00 - 18:00 Aula externa: 25
Viernes 12:00 - 15:00 Aula externa: 25","['Lelic', ' Rifat\nTersoglio', ' Jorge Leonardo']",15 / 35
2010,Primer Cuat.,61.10 - Economía Internacional,A,Jueves 15:00 - 18:00 Aula externa: 31,"['Abayu', ' Jorge Alejandro\nPlaza', ' Alejandro Enrique']",41 / 35
2010,Primer Cuat.,61.23 - Economía para Ingenieros,A,Miércoles 19:00 - 22:00 Aula externa: 140,"['Berisso', ' Osvaldo Jorge\nFilgueira', ' Federico José\nAbayu', ' Jorge Alejandro\nYáñez', ' Esteban Hernan']",26 / 30
2010,Primer Cuat.,61.23 - Economía para Ingenieros,B,Miércoles 19:00 - 22:00 Aula externa: 142,"['Berisso', ' Osvaldo Jorge\nFilgueira', ' Federico José\nAbayu', ' Jorge Alejandro\nYáñez', ' Esteban Hernan']",6 / 30
2010,Primer Cuat.,61.24 - Economía para Ingenieros,S,Viernes 13:00 - 16:00 Aula externa: 116,"['Coccolo', ' Pablo Bartolome']",6 / Ilimitado
2010,Primer Cuat.,22.26 - Electromedicina,K,"Martes 16:00 - 19:00 Aula externa: 116
Viernes 10:00 - 13:00 Aula externa: 116","['Madorno', ' Matias\nCossutta', ' Pablo Martín']",5 / Ilimitado
2010,Primer Cuat.,22.28 - Electrónica de Potencia,K,Miércoles 13:00 - 16:00 Aula externa: 140,"['Aguirre', ' Miguel Pablo\nMicheloud', ' Matias Guillermo']",10 / Ilimitado
2010,Primer Cuat.,22.10 - Electrónica e Instrumentación,AB,"Miércoles 17:00 - 19:00 Aula externa: 32
Jueves 15:00 - 19:00 Aula externa: 32","['Oreglia', ' Eduardo Victor\nComastri', ' Hector Adolfo\nDamonte', ' Marcelo Juan F.\nGarcia Castellanos', ' Rafael\nZuazquita', ' Ricardo Alberto']",51 / Ilimitado
2010,Primer Cuat.,22.12 - Electrónica II,K,"Martes 19:00 - 22:00 Aula externa: 7
Jueves 19:00 - 22:00 Aula externa: 12","['Ditaranto', ' Francisco Antonio\nHirchoren', ' Gustavo Abraham']",28 / Ilimitado
2010,Primer Cuat.,22.13 - Electrónica III,K,"Martes 15:00 - 18:00 Aula externa: 126
Jueves 15:00 - 18:00 Aula externa: 123","['Quintero Rincon', ' Antonio\nRapallini', ' José Antonio']",1 / Ilimitado
2010,Primer Cuat.,22.54 - Electronica Industrial,M,"Viernes 13:00 - 15:00 Aula externa: LAB
Viernes 16:00 - 20:00 Aula externa: LAB","['Llobera', ' Osvaldo Hector\nBaez', ' Eduardo Diocles']",9 / Ilimitado
2010,Primer Cuat.,22.14 - Electrónica IV,K,"Lunes 15:00 - 18:00 Aula externa: 13
Viernes 15:00 - 18:00 Aula externa: 13","['Cossutta', ' Pablo Martín\nAguirre', ' Miguel Pablo\nMicheloud', ' Matias Guillermo']",8 / Ilimitado
2010,Primer Cuat.,22.15 - Electrónica V,K,"Lunes 18:00 - 21:00 Aula externa: 13
Jueves 18:00 - 21:00 Aula externa: 13","['RODRÍGUEZ', ' ANDRÉS CARLOS\nLerendegui', ' Norberto Marcelo']",26 / Ilimitado
2010,Primer Cuat.,21.06 - Electrotecnia,A,"Martes 12:00 - 15:00 Aula externa: 7
Martes 18:00 - 20:00 Aula externa: LAB","['Pingitore', ' Ricardo Alejandro\nAlvarez', ' Julio\nCerfoglio', ' Ernesto Luis']",28 / 35
2010,Primer Cuat.,21.06 - Electrotecnia,BP,Miércoles 17:00 - 19:00 Aula externa: LAB,"['Pingitore', ' Ricardo Alejandro\nAlvarez', ' Julio\nCerfoglio', ' Ernesto Luis']",26 / 35
2010,Primer Cuat.,21.08 - Electrotecnia,MQ,"Lunes 08:00 - 11:00 Aula externa: 140
Miércoles 20:00 - 22:00 Aula externa: LAB
Jueves 11:00 - 14:00 Aula externa: 133","['Cerfoglio', ' Ernesto Luis\nAlvarez', ' Julio']",27 / Ilimitado
2010,Primer Cuat.,22.02 - Electrotecnia I,K,"Martes 16:00 - 18:00 Aula externa: 12
Miércoles 14:30 - 16:30 Aula externa: 7
Viernes 09:00 - 13:00 Aula externa: LAB ELECT","['Hipólito', ' Eduardo Omar\nMuñoz', ' Claudio Marcelo\nRainoldi', ' Jorge Angel Cesar']",32 / Ilimitado
2010,Primer Cuat.,21.79 - Electrotecnia II,E,Viernes 17:00 - 20:00 Aula externa: LAB ELECTRICA,"['Arguimbau', ' Javier Jose\nCerfoglio', ' Ernesto Luis']",0 / Ilimitado
